ProductID,ProductName,Category,StockLevel,ReorderLevel,UnitPrice,RetailPrice,Supplier
P101,Premium Basmati Rice 5kg,Grains,45,15,350.0,450.0,Sri Balaji Traders
P102,Gold Winner Sunflower Oil 1L,Oils,8,15,110.0,140.0,Vignesh Wholesalers
P103,Tata Salt 1kg,Condiments,45,15,20.0,28.0,Tirupur Distributors
P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,6,15,220.0,280.0,Sri Balaji Traders
P105,Toor Dal Premium 1kg,Pulses,45,15,140.0,180.0,Raja Pulses
P106,Britannia Marie Gold Biscuits,Snacks,45,15,12.0,15.0,Tirupur Distributors
P107,Brooke Bond Red Label Tea 250g,Beverages,5,15,95.0,120.0,Vignesh Wholesalers
P108,Sunsilk Black Shampoo 180ml,Personal Care,45,15,115.0,145.0,Vignesh Wholesalers
P131,Yippee Noodles,Food,4,15,20.0,25.0,Tirupur Distributors
P132,Sugar 1kg,Food,10,15,55.0,60.0,Tirupur Distributors
P133,Colgate Toothpaste 200g,Personal Care,10,13,20.0,25.0,Sri Balaji Traders
P111,Groundnut Oil 1L,Food,40,15,100.0,105.0,Raja Traders
