Date,TransactionID,ProductID,ProductName,Category,Quantity,Price,Type,Amount,PaymentMode
2025-12-14,TXN1001,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,5,280,Sale,1400,UPI
2025-12-14,TXN1002,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-14,TXN1003,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,UPI
2025-12-14,TXN1004,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,UPI
2025-12-14,TXN1005,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,UPI
2025-12-14,TXN1006,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,UPI
2025-12-14,TXN1007,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2025-12-14,TXN1008,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,Card
2025-12-14,TXN1009,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-14,TXN1010,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-14,TXN1011,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,Cash
2025-12-14,TXN1012,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,Cash
2025-12-14,TXN1013,P103,Tata Salt 1kg,Condiments,3,28,Sale,84,Cash
2025-12-14,TXN1014,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-14,TXN1015,P105,Toor Dal Premium 1kg,Pulses,5,180,Sale,900,Card
2025-12-14,TXN1016,P106,Britannia Marie Gold Biscuits,Snacks,3,15,Sale,45,UPI
2025-12-15,TXN1017,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-15,TXN1018,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,Cash
2025-12-15,TXN1019,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-15,TXN1020,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-15,TXN1021,P107,Brooke Bond Red Label Tea 250g,Beverages,3,120,Sale,360,Cash
2025-12-15,TXN1022,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,Cash
2025-12-15,TXN1023,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,3,280,Sale,840,UPI
2025-12-15,TXN1024,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,Cash
2025-12-15,TXN1025,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,UPI
2025-12-15,TXN1026,P105,Toor Dal Premium 1kg,Pulses,5,180,Sale,900,Cash
2025-12-15,TXN1027,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,UPI
2025-12-15,TXN1028,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-15,TXN1029,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,UPI
2025-12-16,TXN1030,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-16,TXN1031,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,Cash
2025-12-16,TXN1032,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,Cash
2025-12-16,TXN1033,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,Cash
2025-12-16,TXN1034,P108,Sunsilk Black Shampoo 180ml,Personal Care,3,145,Sale,435,UPI
2025-12-16,TXN1035,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-16,TXN1036,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,UPI
2025-12-16,TXN1037,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-16,TXN1038,P108,Sunsilk Black Shampoo 180ml,Personal Care,3,145,Sale,435,UPI
